"filename", "language", "HTML", "JSON", "Properties", "JavaScript", "Markdown", "XML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"e:\Projects\Office\nurselink-admin\.env", "Properties", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\Office\nurselink-admin\.eslintrc.cjs", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"e:\Projects\Office\nurselink-admin\README.md", "Markdown", 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"e:\Projects\Office\nurselink-admin\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"e:\Projects\Office\nurselink-admin\package-lock.json", "JSON", 0, 10744, 0, 0, 0, 0, 0, 0, 0, 1, 10745
"e:\Projects\Office\nurselink-admin\package.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"e:\Projects\Office\nurselink-admin\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\Projects\Office\nurselink-admin\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Projects\Office\nurselink-admin\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Projects\Office\nurselink-admin\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 3, 3, 45
"e:\Projects\Office\nurselink-admin\src\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 1, 3, 12
"e:\Projects\Office\nurselink-admin\src\Routing.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 89, 4, 130
"e:\Projects\Office\nurselink-admin\src\actions\FloorHelper.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"e:\Projects\Office\nurselink-admin\src\actions\WardHelper.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"e:\Projects\Office\nurselink-admin\src\actions\api\index.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 1, 2, 15
"e:\Projects\Office\nurselink-admin\src\components\Forms.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 591, 0, 34, 18, 643
"e:\Projects\Office\nurselink-admin\src\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 19, 9, 100
"e:\Projects\Office\nurselink-admin\src\components\IconGenerator.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\Projects\Office\nurselink-admin\src\components\LoginForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 79, 0, 0, 4, 83
"e:\Projects\Office\nurselink-admin\src\features\authentication\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Projects\Office\nurselink-admin\src\features\authentication\loginSlice.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 0, 3, 6, 60
"e:\Projects\Office\nurselink-admin\src\features\bedSlice.js", "JavaScript", 0, 0, 0, 104, 0, 0, 0, 0, 50, 6, 160
"e:\Projects\Office\nurselink-admin\src\features\floorSlice.js", "JavaScript", 0, 0, 0, 150, 0, 0, 0, 0, 4, 6, 160
"e:\Projects\Office\nurselink-admin\src\features\wardSlice.js", "JavaScript", 0, 0, 0, 149, 0, 0, 0, 0, 6, 9, 164
"e:\Projects\Office\nurselink-admin\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Office\nurselink-admin\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 2, 2, 18
"e:\Projects\Office\nurselink-admin\src\pages\Bed.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 320, 0, 13, 15, 348
"e:\Projects\Office\nurselink-admin\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"e:\Projects\Office\nurselink-admin\src\pages\Doctor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"e:\Projects\Office\nurselink-admin\src\pages\ErrorPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"e:\Projects\Office\nurselink-admin\src\pages\Floor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 289, 0, 10, 13, 312
"e:\Projects\Office\nurselink-admin\src\pages\HomeLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 153, 0, 10, 2, 165
"e:\Projects\Office\nurselink-admin\src\pages\NurseStation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"e:\Projects\Office\nurselink-admin\src\pages\Patient.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"e:\Projects\Office\nurselink-admin\src\pages\PatientCallingRemote.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"e:\Projects\Office\nurselink-admin\src\pages\Ward_Cabin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 286, 0, 32, 14, 332
"e:\Projects\Office\nurselink-admin\src\store.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 0, 1, 6, 46
"e:\Projects\Office\nurselink-admin\src\utils\FloorOptions.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 1, 4, 27
"e:\Projects\Office\nurselink-admin\src\utils\PopulateEditWardForm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Projects\Office\nurselink-admin\src\utils\WardOptions.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 1, 4, 27
"e:\Projects\Office\nurselink-admin\tailwind.config.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 1, 1, 9
"e:\Projects\Office\nurselink-admin\vite.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 13, 10781, 1, 612, 5, 1, 1917, 3, 282, 163, 13778
