"filename", "language", "JSON", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"e:\Projects\Office\nurselink-admin\package-lock.json", "JSON", 1, 0, 0, 0, 0, 1
"e:\Projects\Office\nurselink-admin\package.json", "JSON", 1, 0, 0, 0, 0, 1
"e:\Projects\Office\nurselink-admin\src\PrivateRoute.jsx", "JavaScript JSX", 0, 4, 0, 0, 0, 4
"e:\Projects\Office\nurselink-admin\src\actions\AssignToBed.js", "JavaScript", 0, 0, 66, 0, 3, 69
"e:\Projects\Office\nurselink-admin\src\actions\FloorHelper.js", "JavaScript", 0, 0, -12, 0, -2, -14
"e:\Projects\Office\nurselink-admin\src\actions\HelperFunctions.js", "JavaScript", 0, 0, 67, 0, 7, 74
"e:\Projects\Office\nurselink-admin\src\actions\WardHelper.js", "JavaScript", 0, 0, -12, 0, -2, -14
"e:\Projects\Office\nurselink-admin\src\components\Forms.jsx", "JavaScript JSX", 0, 612, 0, 51, 24, 687
"e:\Projects\Office\nurselink-admin\src\components\Header.jsx", "JavaScript JSX", 0, 12, 0, -1, -1, 10
"e:\Projects\Office\nurselink-admin\src\features\bedSlice.js", "JavaScript", 0, 0, 44, -48, 0, -4
"e:\Projects\Office\nurselink-admin\src\features\doctorSlice.js", "JavaScript", 0, 0, 150, 4, 6, 160
"e:\Projects\Office\nurselink-admin\src\features\patientSlice.js", "JavaScript", 0, 0, 153, 2, 6, 161
"e:\Projects\Office\nurselink-admin\src\pages\Bed.jsx", "JavaScript JSX", 0, 102, 0, 3, 0, 105
"e:\Projects\Office\nurselink-admin\src\pages\Doctor.jsx", "JavaScript JSX", 0, 302, 0, 11, 12, 325
"e:\Projects\Office\nurselink-admin\src\pages\HomeLayout.jsx", "JavaScript JSX", 0, -2, 0, 2, 0, 0
"e:\Projects\Office\nurselink-admin\src\pages\NurseStation.jsx", "JavaScript JSX", 0, 10, 0, 16, 1, 27
"e:\Projects\Office\nurselink-admin\src\pages\Patient.jsx", "JavaScript JSX", 0, 306, 0, 7, 11, 324
"e:\Projects\Office\nurselink-admin\src\utils\DoctorOptions.js", "JavaScript", 0, 0, 22, 2, 4, 28
"e:\Projects\Office\nurselink-admin\src\utils\NurseOptions.js", "JavaScript", 0, 0, 23, 1, 4, 28
"e:\Projects\Office\nurselink-admin\src\utils\PatientOptions.js", "JavaScript", 0, 0, 22, 1, 4, 27
"e:\Projects\Office\nurselink-admin\src\utils\PopulateEditWardForm.js", "JavaScript", 0, 0, 0, 0, -1, -1
"e:\Projects\Office\nurselink-admin\src\utils\RemoteOptions.js", "JavaScript", 0, 0, 22, 1, 4, 27
"Total", "-", 2, 1346, 545, 52, 80, 2025
