"filename", "language", "Properties", "JavaScript", "Markdown", "XML", "JSON", "HTML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"e:\Projects\Office\nurselink-admin\.env", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\Office\nurselink-admin\.eslintrc.cjs", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"e:\Projects\Office\nurselink-admin\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"e:\Projects\Office\nurselink-admin\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"e:\Projects\Office\nurselink-admin\package-lock.json", "JSON", 0, 0, 0, 0, 10745, 0, 0, 0, 0, 1, 10746
"e:\Projects\Office\nurselink-admin\package.json", "JSON", 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
"e:\Projects\Office\nurselink-admin\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Projects\Office\nurselink-admin\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\Office\nurselink-admin\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Projects\Office\nurselink-admin\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 3, 3, 45
"e:\Projects\Office\nurselink-admin\src\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 1, 3, 16
"e:\Projects\Office\nurselink-admin\src\Routing.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 89, 4, 130
"e:\Projects\Office\nurselink-admin\src\actions\AssignToBed.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 3, 69
"e:\Projects\Office\nurselink-admin\src\actions\HelperFunctions.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 7, 74
"e:\Projects\Office\nurselink-admin\src\actions\api\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 1, 2, 15
"e:\Projects\Office\nurselink-admin\src\components\Forms.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 1203, 0, 85, 42, 1330
"e:\Projects\Office\nurselink-admin\src\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 18, 8, 110
"e:\Projects\Office\nurselink-admin\src\components\IconGenerator.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\Projects\Office\nurselink-admin\src\components\LoginForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 79, 0, 0, 4, 83
"e:\Projects\Office\nurselink-admin\src\features\authentication\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Projects\Office\nurselink-admin\src\features\authentication\loginSlice.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 3, 6, 60
"e:\Projects\Office\nurselink-admin\src\features\bedSlice.js", "JavaScript", 0, 148, 0, 0, 0, 0, 0, 0, 2, 6, 156
"e:\Projects\Office\nurselink-admin\src\features\doctorSlice.js", "JavaScript", 0, 150, 0, 0, 0, 0, 0, 0, 4, 6, 160
"e:\Projects\Office\nurselink-admin\src\features\floorSlice.js", "JavaScript", 0, 150, 0, 0, 0, 0, 0, 0, 4, 6, 160
"e:\Projects\Office\nurselink-admin\src\features\patientSlice.js", "JavaScript", 0, 153, 0, 0, 0, 0, 0, 0, 2, 6, 161
"e:\Projects\Office\nurselink-admin\src\features\wardSlice.js", "JavaScript", 0, 149, 0, 0, 0, 0, 0, 0, 6, 9, 164
"e:\Projects\Office\nurselink-admin\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Office\nurselink-admin\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 2, 2, 18
"e:\Projects\Office\nurselink-admin\src\pages\Bed.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 422, 0, 16, 15, 453
"e:\Projects\Office\nurselink-admin\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"e:\Projects\Office\nurselink-admin\src\pages\Doctor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 306, 0, 11, 14, 331
"e:\Projects\Office\nurselink-admin\src\pages\ErrorPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"e:\Projects\Office\nurselink-admin\src\pages\Floor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 289, 0, 10, 13, 312
